title,price,date,time,link
Teclado gamer T-Dagger Bora T-TGK315 QWERTY T-Dagger Blue espanhol cor preto com luz RGB,R$182,09/05/2023,00:39:36,https://www.mercadolivre.com.br/teclado-gamer-t-dagger-bora-t-tgk315-qwerty-t-dagger-blue-espanhol-cor-preto-com-luz-rgb/p/MLB19145754?pdp_filters=category:MLB418472#searchVariation=MLB19145754&position=30&search_layout=grid&type=product&tracking_id=51249814-3927-4043-859c-6576812053f4
Teclado bluetooth Logitech Master Series MX Mechanical QWERTY Tactile Quiet inglês internacional cor grafite com luz branco,R$1584,09/05/2023,00:39:36,https://www.mercadolivre.com.br/teclado-bluetooth-logitech-master-series-mx-mechanical-qwerty-tactile-quiet-ingls-internacional-cor-grafite-com-luz-branco/p/MLB19515704?pdp_filters=category:MLB418472#searchVariation=MLB19515704&position=31&search_layout=grid&type=product&tracking_id=51249814-3927-4043-859c-6576812053f4
Teclado Numérico Wireless Com 20 Teclas Separadas Sem Fio,R$54.98,09/05/2023,00:39:36,https://produto.mercadolivre.com.br/MLB-1303736211-teclado-numerico-wireless-com-20-teclas-separadas-sem-fio-_JM#position=54&search_layout=grid&type=item&tracking_id=51249814-3927-4043-859c-6576812053f4
Teclado Gamer Redragon Shiva K512w-rgb Lunar White Membrana,R$158,09/05/2023,00:39:36,https://www.mercadolivre.com.br/teclado-gamer-redragon-shiva-k512w-rgb-lunar-white-membrana/p/MLB20577358?pdp_filters=category:MLB418472#searchVariation=MLB20577358&position=32&search_layout=grid&type=product&tracking_id=51249814-3927-4043-859c-6576812053f4
Teclado gamer Redragon Mitra K551 QWERTY Outemu Blue português Brasil cor preto com luz vermelho,R$229,09/05/2023,00:39:36,https://www.mercadolivre.com.br/teclado-gamer-redragon-mitra-k551-qwerty-outemu-blue-portugus-brasil-cor-preto-com-luz-vermelho/p/MLB16091923?pdp_filters=category:MLB418472#searchVariation=MLB16091923&position=33&search_layout=grid&type=product&tracking_id=51249814-3927-4043-859c-6576812053f4
Teclado Redragon Lakshmi Mecânico Gamer K606 Switch Marrom,R$216,09/05/2023,00:39:36,https://www.mercadolivre.com.br/teclado-redragon-lakshmi-mecnico-gamer-k606-switch-marrom/p/MLB20935862?pdp_filters=category:MLB418472#searchVariation=MLB20935862&position=34&search_layout=grid&type=product&tracking_id=51249814-3927-4043-859c-6576812053f4
Teclado bluetooth Satechi ST-ACBKM QWERTY inglês US cor cinza,R$530,09/05/2023,00:39:36,https://www.mercadolivre.com.br/teclado-bluetooth-satechi-st-acbkm-qwerty-ingls-us-cor-cinza/p/MLB15704513?pdp_filters=category:MLB418472#searchVariation=MLB15704513&position=35&search_layout=grid&type=product&tracking_id=51249814-3927-4043-859c-6576812053f4
Teclado gamer Exbom BK-152C QWERTY português Brasil cor preto com luz RGB,R$42,09/05/2023,00:39:36,https://www.mercadolivre.com.br/teclado-gamer-exbom-bk-152c-qwerty-portugus-brasil-cor-preto-com-luz-rgb/p/MLB8866878?pdp_filters=category:MLB418472#searchVariation=MLB8866878&position=36&search_layout=grid&type=product&tracking_id=51249814-3927-4043-859c-6576812053f4
Teclado gamer OEX Action TC200,R$52.90,09/05/2023,00:39:36,https://www.mercadolivre.com.br/teclado-gamer-oex-action-tc200/p/MLB6078899?pdp_filters=category:MLB418472#searchVariation=MLB6078899&position=37&search_layout=grid&type=product&tracking_id=51249814-3927-4043-859c-6576812053f4
Teclado Multilaser TC213 QWERTY português Brasil cor preto,R$42.97,09/05/2023,00:39:36,https://www.mercadolivre.com.br/teclado-multilaser-tc213-qwerty-portugus-brasil-cor-preto/p/MLB8990376?pdp_filters=category:MLB418472#searchVariation=MLB8990376&position=38&search_layout=grid&type=product&tracking_id=51249814-3927-4043-859c-6576812053f4
